BookTitle	Author	genre_list	year_published	avg_rating	num_ratings	num_works
The Crow Road	Iain Banks	['Mystery', 'Novel', 'Fiction', 'Suspense']	1992.0	10.0	1.0	27
Ender's Game	Orson Scott Card	['Science Fiction', 'Speculative fiction', 'Fiction']	1999.0	8.0	14.0	48
Job: A Comedy of Justice	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Novel']	1990.0	7.857142857142857	21.0	34
Friday	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1982.0	8.75	3.0	34
The Caves of Steel	Isaac Asimov	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Mystery', 'Fantasy', 'Fiction']"	1989.0	8.535714285714285	11.0	36
Foundation and Earth	Isaac Asimov	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1987.0	8.033333333333333	16.0	36
Time Enough for Love	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1980.0	8.201923076923077	17.0	34
The Rolling Stones	Robert A. Heinlein	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"	1978.0	8.0	1.0	34
The Door into Summer	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1993.0	8.35	7.0	34
Farnham's Freehold	Robert A. Heinlein	['Science Fiction']	1994.0	7.25	8.0	34
The Treasure of the Sierra Madre	B. Traven	['Western', 'Fiction', 'Adventure novel']	1984.0	10.0	1.0	2
Kim	Rudyard Kipling	['Spy fiction', 'Novel', 'Picaresque novel']	1975.0	7.8125	7.0	4
Whit	Iain Banks	['Science Fiction', 'Fantasy', 'Fiction', 'Novel']	1996.0	7.727272727272727	11.0	27
Mostly Harmless	Douglas Adams	['Science Fiction', 'Speculative fiction', 'Fiction', 'Comic science fiction', 'Humour']	1992.0	7.742307692307692	23.0	7
Native Son	Richard Wright	['Fiction', 'Novel']	1942.0	6.6	5.0	4
A Farewell to Arms	Ernest Hemingway	['Fiction', 'Novel']	1999.0	10.0	1.0	12
Dodsworth	Sinclair Lewis	['Novel']	1995.0	6.0	1.0	9
Lost Horizon	James Hilton	"[""Children's literature"", 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Non-fiction novel', 'Lost World', 'Fiction']"	1984.0	8.166666666666666	8.0	3
The Red Badge of Courage	Stephen Crane	['Fiction']	1997.0	7.25	7.0	3
Goodbye, Mr. Chips	James Hilton	['Psychological novel']	1983.0	9.0	3.0	3
Of Mice and Men	John Steinbeck	['Novella']	1982.0	8.935714285714287	14.0	15
All's Well That Ends Well	William Shakespeare	[]	2001.0	8.0	1.0	36
The Taming of the Shrew	William Shakespeare	[]	1999.0	8.666666666666666	3.0	36
Ishmael	Daniel Quinn	['Speculative fiction', 'Fantasy', 'Fiction', 'Novel']	1993.0	8.96031746031746	21.0	8
David Copperfield	Charles Dickens	['Künstlerroman', 'Fiction', 'Novel']	1979.0	8.666666666666666	3.0	20
Childhood's End	Arthur C. Clarke	['Science Fiction', 'Speculative fiction', 'Catastrophic literature', 'Transhumanism']	1987.0	8.368421052631579	19.0	22
The Two Towers	J. R. R. Tolkien	"['Science Fiction', ""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1976.0	8.333333333333334	8.0	9
The Return of the King	J. R. R. Tolkien	['Science Fiction', 'Biography', 'Speculative fiction', 'Fantasy', 'Fiction', 'Autobiography']	1976.0	8.694444444444445	12.0	9
The Body	Stephen King	['Novella']	2000.0	5.0	1.0	60
The Eyes of the Dragon	Stephen King	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1987.0	8.099415204678362	56.0	60
Riding the Bullet	Stephen King	[]	2002.0	7.5	2.0	60
Dolores Claiborne	Stephen King	"['Thriller', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"	1992.0	6.622315592903829	108.0	60
Gerald's Game	Stephen King	['Thriller', 'Speculative fiction', 'Horror']	1992.0	7.393529411764706	82.0	60
The Green Mile	Stephen King	['Fantasy', 'Speculative fiction', 'Horror']	1999.0	9.040313549832026	114.0	60
The Long Walk	Stephen King	['Science Fiction', 'Speculative fiction', 'Horror', 'Dystopia']	1999.0	7.857142857142857	21.0	60
The Day of the Triffids	John Wyndham	['Fiction']	1986.0	8.0	3.0	9
Antigone	Sophocles	[]	2001.0	10.0	1.0	3
Carrie	Stephen King	['Science Fiction', 'Horror', 'Speculative fiction', 'Mystery', 'Epistolary novel', 'Fiction', 'Suspense']	1975.0	8.240747642051991	76.0	60
Watership Down	Richard Adams	['Speculative fiction', 'Fantasy', 'Fiction']	1974.0	8.491818181818182	122.0	7
Harriet the Spy	Louise Fitzhugh	"['Spy fiction', ""Children's literature"", 'Fiction']"	1978.0	7.786309523809524	38.0	1
The Big Sleep	Raymond Chandler	['Crime Fiction', 'Detective fiction', 'Novel', 'Hardboiled']	1992.0	8.454545454545455	22.0	7
The Player of Games	Iain Banks	['Science Fiction', 'Speculative fiction']	1997.0	9.333333333333334	3.0	27
Excession	Iain Banks	['Science Fiction', 'Speculative fiction']	1998.0	6.6	5.0	27
Choke	Chuck Palahniuk	['Black comedy', 'Novel', 'Satire', 'Speculative fiction', 'Fiction']	2001.0	8.06140350877193	22.0	12
A Friend of the Earth	T. Coraghessan Boyle	['Speculative fiction', 'Dystopia']	2000.0	6.083333333333334	9.0	8
The Weirdstone of Brisingamen	Alan Garner	"['Speculative fiction', 'Fantasy', ""Children's literature""]"	1992.0	7.333333333333333	6.0	6
The Human Stain	Philip Roth	['Fiction', 'Novel']	2000.0	8.0	3.0	21
Picnic at Hanging Rock	Joan Lindsay	['Mystery', 'Historical novel']	1977.0	8.5	9.0	1
Smith of Wootton Major	J. R. R. Tolkien	['Fantasy', 'Fiction', 'Novella']	1977.0	7.5	2.0	9
England, England	Julian Barnes	['Speculative fiction', 'Fiction']	1999.0	5.75	3.0	7
Dune	Frank Herbert	['Conspiracy fiction', 'Science Fiction', 'Philosophy', 'Adventure novel', 'Planetary romance', 'Fiction', 'Military science fiction']	1975.0	8.60204081632653	32.0	20
Feersum Endjinn	Iain Banks	['Science Fiction', 'Speculative fiction']	1996.0	8.0	1.0	27
Uncle Tom's Cabin	Harriet Beecher Stowe	['Novel']	1970.0	7.0	6.0	3
The Beach	Alex Garland	['Fiction']	1997.0	8.01590909090909	52.0	2
Murder Must Advertise	Dorothy L. Sayers	['Mystery', 'Fiction', 'Suspense']	1985.0	8.5	8.0	12
To Kill a Mockingbird	Harper Lee	['Fiction']	1960.0	9.062902513179967	267.0	1
A Christmas Carol	Charles Dickens	['Ghost story', 'Morality play', 'Novella', 'Speculative fiction', 'Fairy tale', 'Fiction']	1981.0	9.5	4.0	20
About a Boy	Nick Hornby	['Fiction', 'Novel']	1998.0	7.886723065294494	130.0	5
Sick Puppy	Carl Hiaasen	['Novel']	2000.0	8.482876712328768	98.0	14
The Great Gatsby	F. Scott Fitzgerald	['Fiction', 'Novel']	1995.0	7.96933962264151	118.0	8
For Whom the Bell Tolls	Ernest Hemingway	['War novel', 'Fiction']	1995.0	7.5	18.0	12
Good Omens	Neil Gaiman	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Comedy', 'Comic novel', 'Fiction']	1996.0	8.195402298850574	87.0	11
Coraline	Neil Gaiman	"['Fantasy', 'Speculative fiction', 'Horror', ""Children's literature""]"	2002.0	8.831541218637993	97.0	11
Interview with the Vampire	Anne Rice	['Vampire fiction', 'Horror', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']	1981.0	7.639130434782609	232.0	22
Tartarin de Tarascon	Alphonse Daudet	"[""Children's literature"", 'Fiction', 'Novel']"	1996.0	9.0	1.0	1
Finnegans Wake	James Joyce	['Novel']	1982.0	6.0	3.0	3
The Virgin Suicides	Jeffrey Eugenides	['Fiction', 'Novel']	1993.0	7.818518518518519	97.0	3
What Makes Sammy Run?	Budd Schulberg	['Satire', 'Fiction', 'Novel']	2002.0	8.0	1.0	1
The Razor's Edge	W. Somerset Maugham	['Novel']	1992.0	9.166666666666666	6.0	12
King Solomon's Mines	H. Rider Haggard	['Lost World', 'Speculative fiction', 'Adventure novel']	1991.0	5.0	1.0	7
Cat's Cradle	Kurt Vonnegut	['Science Fiction', 'Satire', 'Speculative fiction']	1997.0	8.085470085470085	54.0	15
Excellent Women	Barbara Pym	['Fiction', 'Novel']	1988.0	7.666666666666667	3.0	9
Murder in the Cathedral	T. S. Eliot	[]	1938.0	7.0	1.0	3
The Legend of Sleepy Hollow	Washington Irving	['Speculative fiction']	1982.0	9.0	5.0	2
The Winter's Tale	William Shakespeare	[]	1962.0	9.0	1.0	36
Dead Air	Iain Banks	['Fiction', 'Novel']	2002.0	8.0	1.0	27
The Exorcist	William Peter Blatty	['Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']	2000.0	6.777777777777778	9.0	3
A Severed Head	Iris Murdoch	['Fiction', 'Novel']	1976.0	7.0	1.0	12
The Road to Mars	Eric Idle	['Science Fiction', 'Speculative fiction', 'Comedy', 'Fiction']	2001.0	8.5	6.0	2
Regeneration	Pat Barker	['War novel', 'Fiction']	1992.0	7.5	5.0	4
House of Leaves	Mark Z. Danielewski	['Horror', 'Speculative fiction', 'Ergodic literature', 'Romance novel', 'Satire', 'Fiction', 'Chivalric romance']	2000.0	8.375	40.0	4
Restoree	Anne McCaffrey	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']	1976.0	8.133333333333333	8.0	25
Cat on a Hot Tin Roof	Tennessee Williams	[]	1975.0	7.888888888888888	8.0	7
Elmer Gantry	Sinclair Lewis	['Fiction', 'Novel']	1982.0	7.0	1.0	9
Sons and Lovers	D. H. Lawrence	['Autobiographical novel', 'Künstlerroman', 'Fiction']	1976.0	7.095238095238095	10.0	9
Nemesis	Isaac Asimov	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"	1989.0	7.041666666666667	11.0	36
Island of the Sequined Love Nun	Christopher Moore	['Speculative fiction', 'Comedy', 'Romance novel']	1997.0	7.301587301587301	25.0	11
The Lust Lizard of Melancholy Cove	Christopher Moore	['Adventure', 'Adventure novel', 'Speculative fiction', 'Comic fantasy', 'Mystery', 'Fiction', 'Humour']	1999.0	8.216610549943884	39.0	11
Quartet in Autumn	Barbara Pym	['Fiction', 'Novel']	1978.0	3.0	1.0	9
Some Tame Gazelle	Barbara Pym	['Comedy', 'Fiction']	1984.0	8.0	1.0	9
On Golden Pond	Ernest Thompson	[]	1981.0	8.0	1.0	1
Alas, Babylon	Pat Frank	['Science Fiction', 'Reference', 'Novel', 'Speculative fiction', 'Apocalyptic and post-apocalyptic fiction', 'Fiction']	1990.0	8.2	6.0	2
Sister Carrie	Theodore Dreiser	['Fiction', 'Romance novel', 'Novel']	1962.0	7.283333333333334	10.0	6
The Accidental Tourist	Anne Tyler	['Fiction']	1985.0	7.535353535353535	39.0	8
Lamb: The Gospel According to Biff, Christ's Childhood Pal	Christopher Moore	['Adventure', 'Absurdist fiction', 'Speculative fiction', 'Comic fantasy', 'Mystery', 'Comedy', 'Adventure novel', 'Humour']	2002.0	8.526315789473685	19.0	11
The Remains of the Day	Kazuo Ishiguro	['Fiction', 'Historical novel']	1989.0	10.0	1.0	5
The Long Dark Tea-Time of the Soul	Douglas Adams	['Science Fiction', 'Speculative fiction', 'Science', 'Mystery', 'Fantasy', 'Comedy', 'Comic novel', 'Fiction']	1989.0	8.625	8.0	7
Damage	Josephine Hart	[]	1991.0	7.566666666666666	9.0	1
Imperial Earth	Arthur C. Clarke	['Science Fiction', 'Speculative fiction']	1976.0	6.5	3.0	22
Chocolat	Joanne Harris	['Novel', 'Magic realism', 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction']	1999.0	8.038682700946852	145.0	5
The Ghost Road	Pat Barker	['War novel', 'Fiction']	1995.0	7.222222222222221	6.0	4
Rosemary's Baby	Ira Levin	['Speculative fiction', 'Horror']	1991.0	7.694444444444444	15.0	8
This Perfect Day	Ira Levin	['Science Fiction', 'Speculative fiction', 'Horror', 'Fiction', 'Dystopia']	1991.0	9.0	3.0	8
The Boys from Brazil	Ira Levin	['Thriller', 'Speculative fiction', 'Fiction']	1995.0	8.0	2.0	8
Sliver	Ira Levin	['Mystery', 'Fiction', 'Suspense']	1991.0	6.0	1.0	8
The Tale of Genji	Murasaki Shikibu	['Fiction']	1978.0	8.0	1.0	1
Where Angels Fear to Tread	E. M. Forster	['Fiction', 'Romance novel', 'Novel']	1992.0	6.333333333333334	4.0	6
Shame	Salman Rushdie	['Speculative fiction', 'Fiction', 'Novel']	1983.0	6.333333333333333	3.0	4
The Vampire Lestat	Anne Rice	"[""Children's literature"", 'Horror', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']"	1989.0	7.0	1.0	22
The Tale of the Body Thief	Anne Rice	"[""Children's literature"", 'Horror', 'Inspirational', 'Speculative fiction', 'Fantasy', 'Fiction', 'Gothic fiction']"	1992.0	6.5	2.0	22
War and Peace	Leo Tolstoy	['War novel', 'Romance novel', 'Historical novel']	1982.0	8.388888888888888	8.0	11
On the Beach	Nevil Shute	['Science Fiction', 'Novel', 'Speculative fiction', 'Apocalyptic and post-apocalyptic fiction', 'Suspense', 'Fiction']	1972.0	9.0	2.0	17
The Crying of Lot 49	Thomas Pynchon	['Speculative fiction', 'Fiction', 'Novel']	1999.0	8.666666666666666	9.0	7
Jack of Shadows	Roger Zelazny	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Novel']	1989.0	5.0	1.0	28
Clouds of Witness	Dorothy L. Sayers	['Mystery', 'Fiction', 'Suspense']	1987.0	8.666666666666666	3.0	12
